Guy Hamilton
Roland Emmerich
John McTiernan
David Leitch
Jon Watts
John Woo
Stanley Kubrick
Rian Johnson
Keanu Reeves
Louis Leterrier
George Miller
Gary Ross
Lana Wachowski
Lilly Wachowski
Newt Arnold
Christopher McQuarrie
Peter Ho-Sun Chan
Stanley Tong
Renny Harlin
Scott Derrickson
George Lucas
Dominic Sena
Yimou Zhang
Danny Boyle
Christopher Nolan
David Lean
Hiroshi Inagaki
Kurt Wimmer
Anthony Russo
Joe Russo
Yuen Woo-Ping
Noam Murro
Sam Mendes
Antoine Fuqua
F. Gary Gray
Ronny Yu
Joe Wright
Rob Cohen
John Singleton
Rob Minkoff
Marcus Nispel
Takashi Miike
John Frankenheimer
Michael Cimino
Pierre Morel
Mike Newell
Jennifer Yuh Nelson
Gareth Edwards
Michael Davis
Ryan Coogler
Timo Vuorensola
James Mangold
John Carpenter
Akira Kurosawa
John Lasseter
Bradford Lewis
Wei Lo
Chia-Hsiang Wu
Tim Miller
Herman Yau
Brad Peyton
Jan de Bont
Yoshihiro Nishimura
Oliver Stone
Chia-Liang Liu
Jackie Chan
Michael Herz
Lloyd Kaufman
James Gunn
Tarsem Singh
Gore Verbinski
Michael Curtiz
Park Chan-wook
J.A. Bayona
Quentin Tarantino
Mark L. Lester
Wilson Yip
Jonathan Liebesman
Steven Spielberg
Steven Soderbergh
Kathryn Bigelow
James Cameron
Chad Stahelski
Keishi Otomo
Jason Eisener
Tony Scott
Wolfgang Petersen
Matthew Vaughn
Len Wiseman
Michael Bay
Bruce Lee
Gordon Chan
Guillermo del Toro
Nicolas Winding Refn
Kevin Greutert
Justin Lin
Jean-Jacques Annaud
Destin Daniel Cretton
Clint Eastwood
Russ Meyer
Joe Johnston
Robert Zemeckis
Mark DiSalle
David Worth
Sam Hargrave
Anthony C. Ferrante
Ridley Scott
Taika Waititi
Brett Ratner
Morten Tyldum
Tony Bancroft
Barry Cook
William Wyler
Terrence Malick
Tsui Hark
Jon Favreau
Daniel Kwan
Daniel Scheinert
