title,release_date,genres,directors,stars,rating,duration,description,storyline,keywords
Remo: Unarmed and Dangerous,1985,"['Action', 'Adventure', 'B-Action', 'Comedy', 'Crime', 'Romance', 'Thriller']",['Guy Hamilton'],"['Fred Ward', 'Joel Grey', 'Wilford Brimley']",6.4,2h 1m,"An officially ""dead"" cop is trained to become an extraordinary unique assassin in service of the US President.","A cop who answers a call is ambushed. The next day he is buried. But in reality he is in a hospital and his appearance has been altered. He is then told by a man named McCleary that he now belongs to ""them"". ""Them"" being CURE an organization whose job is to battle corruption. They give him the new name of Remo Williams. He then meets the head of CURE Harold Smith, who spends most of his time sitting in front of a copmuter and perusing over reports of individuals that have to be dealt with. They then give him to Chiun, a Shinanju master, which is the art of killing someone and making it seem like an accident or natural causes. Chiun's regimen is hard on him. Smith then discovers a man named Grove, who is a defense contractor. It seems that whenever there's a case against him, the key witnesses and investigators disappear. Currently a military investigator is pursuing him about his new project which for some reason, he is tight lipped about. Smith sends McCleary and Remo to help her but Grove discovers them and wanting to know about them decides to stir things up. He sends some people to take Remo out but he outwits them. And when he tells Smith about it, Smith doesn't care who then tells him that unless they have more evidence against Grove they can't do anything and if they are about to be exposed, they have to disappear. And while Smith and McCleary have made arrangements for their demise, Remo is told that Chiun will take him out. So he and McCleary have to get the evidence they need.","['race against time', 'assassin', 'korean war veteran', 'soldier', 'action hero']"
Godzilla,1998,"['Action', 'Dinosaur Adventure', 'Disaster', 'Kaiju', 'Sci-Fi', 'Thriller']",['Roland Emmerich'],"['Matthew Broderick', 'Jean Reno', 'Maria Pitillo']",5.5,2h 19m,French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces.,"In the wake of extensive nuclear testing in the South Pacific Ocean, the low-profile scientist, Niko Tatopoulos, is summoned by the U.S. Army to shed light on the mysterious attack on a fishing ship, and the ominous sightings of a gargantuan sea-dragon. Before long, a mutated scaly nightmare in the shape of Godzilla--a massive and all-powerful radioactive sauroid--threatens to level the rain-soaked New York City, against the backdrop of a crippling bureaucracy and the military's futile attempts to stop the invincible beast from the ocean. Now, it's up to Niko; the cryptic insurance agent, Philippe; the determined reporter, Audrey, and her brave cameraman, Victor, to put an end to Godzilla's reign of terror before it's too late. Is there a reason why Godzilla has chosen Manhattan for its den?","['giant monster', 'iguana', 'military', 'giant footprint', 'monster']"
Die Hard: With a Vengeance,1995,"['Action', 'Adventure', 'Dark Comedy', 'One-Person Army Action', 'Thriller', 'Urban Adventure']",['John McTiernan'],"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']",7.6,2h 8m,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.","In New York City, there are some explosions. Someone then calls the police claiming to be the man responsible and says his name is Simon. He wants Detective John McClane to do certain things, thing is McClane is not exactly in good spirits, he's been suspended from the force and is drinking. But Simon insists that's what he wants, McClane is sent to Harlem where he attracts the ire of some of the residents and a repairman named Zeus, helps him. Later Simon calls again and gives McClane his next instructions and wants Zeus to accompany him. Eventually they end up on Wall Street where there's another explosion. That's when the Feds show up and tells McClane who Simon is, a man who has a grudge against McClane. Simon calls and sends McClane on his next task but along the way McClane realizes that Simon is playing them.","['diversionary tactic', 'grudge', 'telephone booth', 'tough cop', 'bomb']"
Fast & Furious: Hobbs & Shaw,2019,"['Action', 'Adventure', 'Car Action', 'Dark Comedy', 'Thriller']",['David Leitch'],"['Dwayne Johnson', 'Jason Statham', 'Idris Elba']",6.5,2h 17m,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.,"['samoa', 'flamethrower', 'fast and furious franchise', 'spin off', 'shared universe']"
Spider-Man: No Way Home,2021,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Superhero', 'Supernatural Fantasy', 'Urban Adventure']",['Jon Watts'],"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",8.2,2h 28m,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.","With his identity compromised, right after the spectacular confrontation with super-hero charlatan Mysterio in Spider-Man: Far from Home (2019), Peter Parker is now with his back to the wall. On the run and having no one to turn to for advice, desperate Peter seeks a radical and equally dangerous solution to right a wrong, utterly unaware of the grave consequences of his ill-advised decision. And, as the unfathomable Multiverse expands with a vengeance, formidable adversaries from a not-so-distant past, too, seek closure, demanding the Spider's head on a platter. But when there's no way home and nowhere to hide, who can Parker trust?","['spider man character', 'superhero', 'marvel cinematic universe', 'multiverse', 'green goblin character']"
Red Cliff,2008,"['Action', 'Adventure', 'Drama', 'Historical Epic', 'History', 'War', 'War Epic', 'Wuxia']",['John Woo'],"['Tony Leung Chiu-wai', 'Takeshi Kaneshiro', 'Fengyi Zhang']",7.3,2h 28m,The first chapter of a two-part story centered on a battle fought in China's Three Kingdoms period (220-280 A.D.).,"In 208 A.D., in the Han Dinasty of China, the tyrannic and greedy Prime Minster Cao Cao forces the reluctant Emperor Han to declare war against the kingdoms of Liu Bei and Sun Quan in the South of China. Cao Cao heads with a mighty army of one million soldiers and attacks Liu Bei. His advisor and war strategist Zhuge Liang heads to South in a diplomatic mission trying to convince Sun Quan to join force with Liu Bei against the powerful warlord. When Zhuge Liang meets the viceroy Zhou Yu, he succeeds in his assignment with the alliance of the two kingdoms against Cao Cao. The armies fight against each other in many battles until the final one in Red Cliff where guile, knowledge and strategy prevail.","['han dynasty china', 'female spy', '3rd century', 'historical event', 'epic war']"
Full Metal Jacket,1987,"['Dark Comedy', 'Drama', 'Period Drama', 'War']",['Stanley Kubrick'],"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio""]",8.2,1h 56m,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"The exploits of J.T. Davis in two distinct phases of his time associated to the Vietnam War are presented. He generally acts as an active observer of the proceedings around him, either by his own choice or by the design of others often in authority. The first phase is as a recruit in basic training for the US Marine Corps at Parris Island, where he receives the nickname Joker from his platoon drill sergeant Gunnery Sergeant Hartman for his sarcastic quips, generally muttered under his breath, usually mimicking John Wayne. He learns that Hartman's foul-mouthed and uncompromisingly harsh ways, probably a reflection of the Marines as an organization, is not to produce robotic troops as some may believe, but rather produce killing machines. Joker's time in basic training is largely affected by Hartman using overweight and slightly slow Private Leonard Lawrence as the platoon's whipping boy, Lawrence's nickname provided by Hartman being Gomer Pyle for his ineptness as a service member, much like his television character namesake. The second phase is in active duty in Vietnam - Da Nang - he assigned to write for Stars and Stripes. He is not to write exactly what he sees but to skew stories in a way to boost serviceman morale and to convince non-military people the reason for American political and thus military involvement in this region of the world, especially in many Americans seeing the war as futile. In covering what becomes the Tet offensive, Joker may come face to face with the kill or be killed mentality without it jibing either with his own outlook or his assigned job.","['vietnam war', 'u.s. marine', 'military', 'drill instructor', 'boot camp']"
Star Wars: Episode VIII - The Last Jedi,2017,"['Action', 'Action Epic', 'Adventure', 'Adventure Epic', 'Fantasy', 'Fantasy Epic', 'Sci-Fi', 'Sci-Fi Epic', 'Space Sci-Fi']",['Rian Johnson'],"['Daisy Ridley', 'John Boyega', 'Mark Hamill']",6.9,2h 32m,Rey develops her abilities with the help of Luke Skywalker as the Resistance prepares for battle against the First Order.,"Following the battle of Starkiller Base, General Leia Organa leads Resistance forces to flee D'Qar when a First Order fleet arrives. Poe Dameron leads a costly counterattack that destroys a First Order dreadnought, but after the Resistance escapes to hyperspace, the First Order tracks them and attacks the Resistance convoy. Kylo Ren, Leia's son, hesitates to fire on the lead Resistance ship after sensing his mother's presence, but his wing-men destroy the bridge, killing most of the Resistance leadership and incapacitating Leia, who survives by using the Force. Disapproving of new leader Vice Admiral Holdo's passive strategy, Poe helps Finn, BB-8, and mechanic Rose Tico embark on a secret mission to disable the First Order's tracking device..","['wisecrack humor', 'deception', 'betrayal', 'mother son relationship', 'sabotage']"
Man of Tai Chi,2013,"['Action', 'Drama', 'Kung Fu', 'Martial Arts']",['Keanu Reeves'],"['Hu Chen', 'Keanu Reeves', 'Karen Mok']",6.0,1h 45m,A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,"Hong Kong tycoon Donaka Mark runs an underground network of martial arts applied in bloody duels for paying audiences, live on site or pay per view. The police hasn't got anywhere investigating him after the suspicious death of an informer who was put down after a fight. Donaka also recruits in mainland China, looking for novelties at mainstream martial arts events. In Beijing he spots and invites Tiger' Chen Lin Hu, a bike courier and the last student of tai chi master Yang, who almost despairs if his gifted disciple will finally embrace the meditation-based lifestyle or be destroyed by the destructive logic of violent ambition. To make tiger accept fighting for cash, Donaka arranges for the temple to need a small fortune within a month to avoid demolition. Tiger wins fast, but descends in an amoral spiral and the police is on their trail.","['martial arts', 'tai chi', 'temple', 'chinese', 'martial art']"
Transporter 2,2005,"['Action', 'Car Action', 'Thriller']",['Louis Leterrier'],"['Jason Statham', 'Amber Valletta', 'Kate Nauta']",6.3,1h 27m,"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official.","Former soldier turned hired criminal Frank Martin, now living in Miami, has been hired for his latest assignment. Frank has been hired as a bodyguard to Jack Billings, son of Jefferson Billings, a wealthy US official for the US government drug control organization who is attending a conference with the DEA. When Jack is kidnapped by a international crime boss known as Gianni and his associates including his murderous lover Lola and gets implicated in the kidnapping, Frank with help of trusted friend, French police detective Tarconi, sets out to rescue Jack and takes on Gianni and his henchmen, as Gianni infects Jack with a engineered virus which will infect those who come into contact with Jack, as Gianni plans to infect Jefferson and sabotage the conference.","['sequel', 'ex soldier', 'biological weapon', 'viral infection', 'deadly virus']"
